snum,roi,isSideLeft,roiNum
366,ctx-rh-inferiorparietal_4,0,2129
367,ctx-rh-inferiorparietal_5,0,2130
368,ctx-rh-inferiorparietal_6,0,2131
369,ctx-rh-inferiorparietal_7,0,2132
370,ctx-rh-inferiorparietal_8,0,2133
371,ctx-rh-inferiorparietal_9,0,2134
372,ctx-rh-inferiorparietal_10,0,2135
373,ctx-rh-inferiorparietal_11,0,2136
374,ctx-rh-inferiorparietal_12,0,2137
375,ctx-rh-precuneus_1,0,2138
376,ctx-rh-precuneus_2,0,2139
377,ctx-rh-precuneus_3,0,2140
378,ctx-rh-precuneus_4,0,2141
379,ctx-rh-precuneus_5,0,2142
380,ctx-rh-precuneus_6,0,2143
381,ctx-rh-precuneus_7,0,2144
382,ctx-rh-precuneus_8,0,2145
383,ctx-rh-precuneus_9,0,2146
384,ctx-rh-precuneus_10,0,2147
385,ctx-rh-cuneus_1,0,2148
386,ctx-rh-cuneus_2,0,2149
387,ctx-rh-cuneus_3,0,2150
388,ctx-rh-cuneus_4,0,2151
389,ctx-rh-pericalcarine_1,0,2152
390,ctx-rh-pericalcarine_2,0,2153
391,ctx-rh-pericalcarine_3,0,2154
392,ctx-rh-pericalcarine_4,0,2155
393,ctx-rh-lateraloccipital_1,0,2156
394,ctx-rh-lateraloccipital_2,0,2157
395,ctx-rh-lateraloccipital_3,0,2158
396,ctx-rh-lateraloccipital_4,0,2159
397,ctx-rh-lateraloccipital_5,0,2160
398,ctx-rh-lateraloccipital_6,0,2161
399,ctx-rh-lateraloccipital_7,0,2162
400,ctx-rh-lateraloccipital_8,0,2163
401,ctx-rh-lateraloccipital_9,0,2164
402,ctx-rh-lateraloccipital_10,0,2165
403,ctx-rh-lingual_1,0,2166
404,ctx-rh-lingual_2,0,2167
405,ctx-rh-lingual_3,0,2168
406,ctx-rh-lingual_4,0,2169
407,ctx-rh-lingual_5,0,2170
408,ctx-rh-lingual_6,0,2171
409,ctx-rh-lingual_7,0,2172
410,ctx-rh-fusiform_1,0,2173
411,ctx-rh-fusiform_2,0,2174
412,ctx-rh-fusiform_3,0,2175
413,ctx-rh-fusiform_4,0,2176
414,ctx-rh-fusiform_5,0,2177
415,ctx-rh-fusiform_6,0,2178
416,ctx-rh-fusiform_7,0,2179
417,ctx-rh-fusiform_8,0,2180
418,ctx-rh-parahippocampal_1,0,2181
419,ctx-rh-parahippocampal_2,0,2182
420,ctx-rh-parahippocampal_3,0,2183
421,ctx-rh-entorhinal_1,0,2184
422,ctx-rh-temporalpole_1,0,2185
423,ctx-rh-inferiortemporal_1,0,2186
424,ctx-rh-inferiortemporal_2,0,2187
425,ctx-rh-inferiortemporal_3,0,2188
426,ctx-rh-inferiortemporal_4,0,2189
427,ctx-rh-inferiortemporal_5,0,2190
428,ctx-rh-inferiortemporal_6,0,2191
429,ctx-rh-inferiortemporal_7,0,2192
430,ctx-rh-middletemporal_1,0,2193
431,ctx-rh-middletemporal_2,0,2194
432,ctx-rh-middletemporal_3,0,2195
433,ctx-rh-middletemporal_4,0,2196
434,ctx-rh-middletemporal_5,0,2197
435,ctx-rh-middletemporal_6,0,2198
436,ctx-rh-middletemporal_7,0,2199
437,ctx-rh-middletemporal_8,0,2200
438,ctx-rh-middletemporal_9,0,2201
439,ctx-rh-bankssts_1,0,2202
440,ctx-rh-bankssts_2,0,2203
441,ctx-rh-bankssts_3,0,2204
442,ctx-rh-superiortemporal_1,0,2205
443,ctx-rh-superiortemporal_2,0,2206
444,ctx-rh-superiortemporal_3,0,2207
445,ctx-rh-superiortemporal_4,0,2208
446,ctx-rh-superiortemporal_5,0,2209
447,ctx-rh-superiortemporal_6,0,2210
448,ctx-rh-superiortemporal_7,0,2211
449,ctx-rh-superiortemporal_8,0,2212
450,ctx-rh-superiortemporal_9,0,2213
451,ctx-rh-superiortemporal_10,0,2214
452,ctx-rh-superiortemporal_11,0,2215
453,ctx-rh-transversetemporal_1,0,2216
454,ctx-rh-insula_1,0,2217
455,ctx-rh-insula_2,0,2218
456,ctx-rh-insula_3,0,2219
457,ctx-rh-insula_4,0,2220
458,ctx-rh-insula_5,0,2221
459,ctx-rh-insula_6,0,2222
460,ctx-rh-insula_7,0,2223
